state,highQ_price_ounce,medQ_price_ounce,total_population,percent_white,percent_black,percent_asian,percent_hispanic,per_capita_income,legality,medicinal,decriminalized,usage_percentage,price_average_ounce
Alabama,341,230,4799277,67,26,1,4,23680,Fully Illegal,illegal,no,0.09690770892,285.5
Alaska,303,270,720316,63,3,5,6,32651,Fully Legal,legal,yes,0.20302618666,286.5
Arizona,296,232,6479703,57,4,3,30,25358,Fully Legal,legal,yes,0.12956809156,264.0
Arkansas,329,240,2933369,74,15,1,7,22170,Medical,legal,no,0.10279695652222222,284.5
California,258,209,37659181,40,6,13,38,29527,Fully Legal,legal,yes,0.1469005583714286,233.5
Colorado,242,200,5119329,70,4,3,21,31109,Fully Legal,legal,yes,0.18933823288333332,221.0
Connecticut,331,280,3583561,70,9,4,14,37892,Medical,legal,yes,0.14427578635000002,305.5
Delaware,339,261,908446,65,21,3,8,29819,Medical,legal,yes,0.14304842534,300.0
District of Columbia,528,325,619371,35,49,3,10,45290,Fully Legal,legal,yes,0.210816255,426.5
Florida,299,229,19091156,57,15,2,23,26236,Medical,legal,no,0.12344072217916667,264.0
Georgia,317,235,9810417,55,30,3,9,25182,Medical,illegal,no,0.11599618145714286,276.0
Hawaii,314,268,1376298,23,2,37,9,29305,Medical,legal,yes,0.1416964736,291.0
Idaho,273,244,1583364,84,1,1,11,22568,Fully Illegal,illegal,no,0.11058196255,258.5
Illinois,351,296,12848554,63,14,5,16,29666,Fully Legal,legal,yes,0.11526944535,323.5
Indiana,330,236,6514861,81,9,2,6,24635,Medical,illegal,no,0.12237121514444443,283.0
Iowa,363,307,3062553,88,3,2,5,27027,Medical,illegal,no,0.0975374217,335.0
Kansas,341,285,2868107,78,6,2,11,26929,Medical,legal,no,0.09361209472857143,313.0
Kentucky,336,228,4361333,86,8,1,3,23462,Medical,illegal,no,0.09840837005714285,282.0
Louisiana,356,258,4567968,60,32,2,4,24442,Medical,legal,no,0.11826885755,307.0
Maine,286,230,1328320,94,1,1,1,26824,Fully Legal,legal,yes,0.17624830068,258.0
Maryland,359,283,5834299,54,29,6,8,36354,Medical,legal,yes,0.12570495919,321.0
Massachusetts,338,282,6605058,76,6,6,10,35763,Fully Legal,legal,yes,0.16596197755714284,310.0
Michigan,289,237,9886095,76,14,3,5,25681,Fully Legal,legal,yes,0.14938878315454546,263.0
Minnesota,328,279,5347740,83,5,4,5,30913,Medical,legal,yes,0.12404416750000001,303.5
Mississippi,347,172,2976872,58,37,1,3,20618,Medical,legal,yes,0.08759897275,259.5
Missouri,352,273,6007182,81,11,2,4,25649,Medical,legal,yes,0.12246141783,312.5
Montana,266,245,998554,87,0,1,3,25373,Fully Legal,legal,yes,0.14352021756666666,255.5
Nebraska,308,251,1841625,82,4,2,9,26899,Medical,illegal,yes,0.099237976975,279.5
Nevada,271,234,2730066,53,8,7,27,26589,Fully Legal,legal,yes,0.13304339771666665,252.5
New Hampshire,331,278,1319171,92,1,2,3,33134,Medical,legal,yes,0.1651279727625,304.5
New Jersey,341,297,8832406,59,13,9,18,36027,Fully Legal,legal,yes,0.11038104467999998,319.0
New Mexico,283,228,2069706,40,2,1,47,23763,Medical,legal,yes,0.1469610878333333,255.5
New York,336,269,19487053,58,14,8,18,32382,Medical,legal,yes,0.14375822522999998,302.5
North Carolina,340,270,9651380,65,21,2,9,25284,Medical,illegal,yes,0.11126303666666666,305.0
North Dakota,382,326,689781,88,1,1,2,29732,Medical,legal,yes,0.097538490275,354.0
Ohio,328,235,11549590,81,12,2,3,26046,Medical,legal,yes,0.11748725997272728,281.5
Oklahoma,341,265,3785742,68,7,2,9,24208,Medical,legal,no,0.1051190378875,303.0
Oregon,210,186,3868721,78,2,4,12,26809,Fully Legal,legal,yes,0.1813691268857143,198.0
Pennsylvania,355,286,12731381,79,10,3,6,28502,Medical,legal,no,0.11224380851428571,320.5
Rhode Island,306,255,1051695,76,5,3,13,30469,Medical,legal,yes,0.20015174939999997,280.5
South Carolina,334,230,4679602,64,28,1,5,23943,Fully Illegal,illegal,no,0.11791158544,282.0
South Dakota,350,336,825198,84,1,1,3,25740,Fully Illegal,legal,yes,0.09382177981666667,343.0
Tennessee,343,260,6402387,75,17,1,5,24409,Fully Illegal,illegal,no,0.095572932375,301.5
Texas,323,249,25639373,45,12,4,38,26019,Medical,legal,no,0.09638367945000001,286.0
Utah,280,244,2813673,80,1,2,13,23873,Medical,legal,no,0.08941328311428572,262.0
Vermont,341,298,625904,94,1,1,2,29167,Fully Legal,legal,yes,0.19383612498,319.5
Virginia,363,288,8100653,64,19,6,8,33493,Fully Legal,legal,yes,0.12702812588333334,325.5
Washington,233,197,6819579,72,3,7,11,30742,Fully Legal,legal,yes,0.17974038508333334,215.0
West Virginia,361,255,1853619,93,3,1,1,22966,Medical,legal,no,0.10261894541428572,308.0
Wisconsin,342,287,5706871,83,6,2,6,27523,Medical,illegal,no,0.1144816997,314.5
Wyoming,315,320,570134,85,1,1,9,28902,Fully Illegal,illegal,no,0.10753250694000001,317.5
